名字,开放时间,评分,建议游玩时间,门票,城市,出发城市,到达城市,高铁时间,高铁费用
瘦西湖Slender West Lake,06:30-17:30,4.7,4.5,95.0,扬州,广州,扬州,3.973057001770419,661.5139907947748
青龙洞Qinglong Cave,8:00-16:00,4.6,1.5,20.0,攀枝花,广州,攀枝花,4.092143849590212,681.3419509567702
珏山Jueshan Mountain,8:00-5:00,4.6,3.5,50.0,晋城,广州,晋城,4.569273441848815,760.7840280678278
金沙滩生态旅游区Golden Beach Ecotourism Area,8:00-19:00,3.9,72.0,258.0,朔州,广州,朔州,5.994026777782394,998.0054585007686
富春江Fuchun River,8:00-17:00,5.0,2.0,1.0,杭州,广州,杭州,3.4893058982952287,580.9694320661556
永仁方山Yongren Square Mountain,08:00-18:00,4.7,2.0,10.0,楚雄州,广州,楚雄州,4.03253749689526,671.4174932330608
玄武山（元山寺）Xuanwu Mountain (Yuanshan Temple),8:30-17:00,4.6,1.5,8.0,汕尾,广州,汕尾,0.7324509107993746,121.95307664809589
万绿湖风景区Wanlu Lake Scenic Spot,09:00-14:00,4.6,2.95,31.8,河源,广州,河源,0.5398629445082215,89.88718026061889
泸州老窖景区,9:00-17:00,4.8,1.5,35.0,泸州,广州,泸州,3.3602485782958285,559.4813882862555
济南动物园Jinan Zoo,08:30-17:00,4.7,4.0,23.4,济南,广州,济南,5.147073162395008,856.9876815387689
济渎庙Jidu Temple,08:00-17:30,4.6,2.5,7.0,济源,广州,济源,4.416100243844555,735.2806906001185
雷琼海口火山群世界地质公园Leiqiong UNESCO Global Geopark,8:00-18:00,4.6,2.5,45.0,海口,广州,海口,1.5544008190455632,258.80773637108626
美林湖温泉Mayland Resort Hotel,09:00-00:00,4.7,2.5,118.0,清远,广州,清远,0.22151413059369598,36.88210274385038
黄花溪Huanghua Creek,08:00-17:30,4.6,2.5,90.0,潍坊,广州,潍坊,5.354470491723163,891.5193368719067
白石岭Baishi Ridge,8:30-17:30,4.6,3.0,30.0,琼海,广州,琼海,1.7238934220937543,287.0282547786101
林则徐纪念馆Lin Zexu Memorial Hall,8:30-17:00,4.7,1.25,279.0,福州,广州,福州,2.308037032987843,384.28816599247585
罗荣桓故居Luoronghuan Former Residence,9:00-17:00,4.6,2.5,0.0,衡阳,广州,衡阳,1.409250994331011,234.64029055611334
黔灵山公园Qianling Mountain Park,07:00-18:00,4.6,3.5,9.0,贵阳,广州,贵阳,2.5839890231904152,430.2341723612042
姑婆山Gupo Mountain,08:00-17:00,4.6,12.0,60.0,贺州,广州,贺州,0.7441916898200479,123.907916355038
梅里雪山国家公园Meili Snow Mountain,6:00-16:30,4.7,108.0,8.0,迪庆,广州,迪庆,4.860234936680524,809.2291169573074
龙湾群国家森林公园四方顶景区,07:00-17:00,5.0,12.0,50.0,通化,广州,通化,7.91847674128584,1318.4263774240924
柏乡牡丹世界旅游景区,9:00-18:00,5.0,2.5,30.0,邢台,广州,邢台,5.166703199416715,860.2560827028831
鄂尔多斯大草原Ordos Prairie,8:00-22:00,4.6,6.0,39.9,鄂尔多斯,广州,鄂尔多斯,6.188643856953596,1030.4092021827737
铁煤蒸汽机车博物馆Tiemeizhengqijiche Museum,08:30-16:00,4.4,1.0,80.0,铁岭,广州,铁岭,7.800528044684329,1298.7879194399409
马鞍山马钢盆山Ma'anshan Magangpen Mountain,8:00-17:00,5.0,72.0,5.0,马鞍山,广州,马鞍山,3.597720871073032,599.02052503366
