
当前城市: 扬州, 下一城市: 盘锦, 高铁费用: 599.22, 门票费: 35.00, 累计费用: 1338.74, 累计时间: 11.98, 景点: 文笔峰道家文化苑
当前城市: 云浮, 下一城市: 宜宾, 高铁费用: 588.87, 门票费: 80.00, 累计费用: 8060.72, 累计时间: 137.40, 景点: 华蓥山Huaying Mountain
当前城市: 宜宾, 下一城市: 张掖, 高铁费用: 717.25, 门票费: 95.00, 累计费用: 8872.97, 累计时间: 146.38, 景点: 南丹山森林王国Nandanshan Discovery Park
当前城市: 抚州, 下一城市: 松原, 高铁费用: 1231.81, 门票费: 5.00, 累计费用: 1236.81, 累计时间: 114.84, 景点: 尖峰岭国家森林公园Jianfeng (Sharp Peak) Ridge National Forest Park
当前城市: 松原, 下一城市: 蚌埠, 高铁费用: 901.09, 门票费: 29.00, 累计费用: 2166.89, 累计时间: 123.85, 景点: 南山植物园Nanshan Botanical Garden
当前城市: 蚌埠, 下一城市: 济源, 高铁费用: 301.12, 门票费: 2.00, 累计费用: 2470.01, 累计时间: 127.02, 景点: 三清山梯云岭
当前城市: 芜湖, 下一城市: 青木川, 高铁费用: 675.24, 门票费: 5.00, 累计费用: 680.24, 累计时间: 8.75, 景点: 大基山Daji Mountain
当前城市: 青木川, 下一城市: 琼海, 高铁费用: 918.60, 门票费: 0.00, 累计费用: 1598.84, 累计时间: 121.85, 景点: 东福山岛Dongfushan Island
当前城市: 琼海, 下一城市: 天水, 高铁费用: 1060.20, 门票费: 62.00, 累计费用: 2721.04, 累计时间: 139.74, 景点: 大熊山国家森林公园Daxiong Mountain National Forest Park
当前城市: 天水, 下一城市: 湛江, 高铁费用: 928.58, 门票费: 100.00, 累计费用: 3749.61, 累计时间: 147.90, 景点: 岜沙苗寨Basha Miao Nationality Village
当前城市: 定安, 下一城市: 辽阳, 高铁费用: 1614.84, 门票费: 188.00, 累计费用: 1802.84, 累计时间: 9.97, 景点: 坛子岭Tanziling Scenic Area
当前城市: 辽阳, 下一城市: 固原, 高铁费用: 947.35, 门票费: 60.00, 累计费用: 2810.19, 累计时间: 27.23, 景点: 峰林晓镇Jiulong Town
当前城市: 固原, 下一城市: 儋州, 高铁费用: 1117.76, 门票费: 110.00, 累计费用: 4037.95, 累计时间: 37.44, 景点: 万峰林景区Wanfenglin (“Ten-Thousand Peak Forest”)
当前城市: 儋州, 下一城市: 泸州, 高铁费用: 672.59, 门票费: 42.00, 累计费用: 4752.54, 累计时间: 44.68, 景点: 东山风动石景区Dongshan  Fengdong Rock Scenic Area
当前城市: 钦州, 下一城市: 庆阳, 高铁费用: 917.87, 门票费: 64.50, 累计费用: 982.37, 累计时间: 7.60, 景点: 十里蓝山Ten Miles Blue Mountain
当前城市: 庆阳, 下一城市: 张家界, 高铁费用: 467.83, 门票费: 38.00, 累计费用: 1488.20, 累计时间: 22.20, 景点: 天坪山云林天乡Yunlin Tianxiang, Tianping Mountain
当前城市: 张家界, 下一城市: 徐州, 高铁费用: 514.13, 门票费: 65.00, 累计费用: 2067.33, 累计时间: 49.05, 景点: 景忠山旅游区
当前城市: 徐州, 下一城市: 苏州, 高铁费用: 267.85, 门票费: 10.00, 累计费用: 2345.18, 累计时间: 52.04, 景点: 大悲山灵音禅寺
当前城市: 苏州, 下一城市: 宁波, 高铁费用: 110.44, 门票费: 2.00, 累计费用: 2457.62, 累计时间: 53.66, 景点: 大兴安岭五·六火灾纪念馆Da Hinggan Ling Five Six Fire Memorial Hall
当前城市: 宁波, 下一城市: 昌江, 高铁费用: 1036.09, 门票费: 10.00, 累计费用: 3503.71, 累计时间: 60.91, 景点: 信号山公园Signal Hill Park
当前城市: 昌江, 下一城市: 鄂州, 高铁费用: 823.00, 门票费: 40.00, 累计费用: 4366.71, 累计时间: 69.48, 景点: 八公山国家森林公园
当前城市: 鄂州, 下一城市: 西双版纳, 高铁费用: 1010.59, 门票费: 49.90, 累计费用: 5427.20, 累计时间: 78.60, 景点: 天桥山·银河洞风景区Yinhedong Sceneic Area
当前城市: 西双版纳, 下一城市: 通化, 高铁费用: 1925.56, 门票费: 60.00, 累计费用: 7412.77, 累计时间: 91.80, 景点: 中国丹霞谷Danxia Valley
当前城市: 通化, 下一城市: 陵水, 高铁费用: 1793.90, 门票费: 0.50, 累计费用: 9207.17, 累计时间: 104.26, 景点: 孙中山故居纪念馆Sun Yat-Sen Memorial Hall
当前城市: 陵水, 下一城市: 万宁, 高铁费用: 29.73, 门票费: 1.00, 累计费用: 9237.90, 累计时间: 108.93, 景点: 五桂山Wuguishan
当前城市: 万宁, 下一城市: 保定, 高铁费用: 1369.72, 门票费: 6.00, 累计费用: 10613.62, 累计时间: 119.04, 景点: 佛山祖庙Foshan Ancestral Temple
当前城市: 保定, 下一城市: 铁门关, 高铁费用: 1521.34, 门票费: 59.90, 累计费用: 12194.86, 累计时间: 139.49, 景点: 千山Qianshan (Qian Mountains) National Park
当前城市: 西双版纳, 下一城市: 雄安新区, 高铁费用: 1423.49, 门票费: 2.00, 累计费用: 1425.49, 累计时间: 8.91, 景点: 中山码头Zhongshan Ferry Terminal
当前城市: 雄安新区, 下一城市: 新乡, 高铁费用: 268.51, 门票费: 44.86, 累计费用: 1738.86, 累计时间: 82.40, 景点: 广东第一峰Shaoguan Guangdong First Peak
当前城市: 新乡, 下一城市: 常州, 高铁费用: 409.20, 门票费: 25.00, 累计费用: 2173.06, 累计时间: 86.67, 景点: 张果老山Zhang Guolao Mountain
当前城市: 常州, 下一城市: 苏州, 高铁费用: 48.39, 门票费: 10.00, 累计费用: 2231.46, 累计时间: 88.44, 景点: 大悲山灵音禅寺
当前城市: 苏州, 下一城市: 通辽, 高铁费用: 828.67, 门票费: 26.00, 累计费用: 3086.13, 累计时间: 95.55, 景点: 日照文山茶博园
当前城市: 通辽, 下一城市: 河源, 高铁费用: 1391.23, 门票费: 70.00, 累计费用: 4547.36, 累计时间: 103.67, 景点: 云丘山玉皇顶索道Yunqiu Mountain Yuhuang Peak Ropeway
当前城市: 河源, 下一城市: 芜湖, 高铁费用: 553.43, 门票费: 45.00, 累计费用: 5145.79, 累计时间: 110.75, 景点: 大阳山国家森林公园Dayangshan National Forest Park
当前城市: 芜湖, 下一城市: 辽源, 高铁费用: 848.62, 门票费: 66.00, 累计费用: 6060.41, 累计时间: 127.46, 景点: 巨石山Jushi Mountain
当前城市: 辽源, 下一城市: 怀化, 高铁费用: 1315.50, 门票费: 30.00, 累计费用: 7405.91, 累计时间: 137.27, 景点: 云山渔谷
当前城市: 怀化, 下一城市: 南宁, 高铁费用: 326.72, 门票费: 42.00, 累计费用: 7774.63, 累计时间: 140.59, 景点: 安期峰景区Anqifeng Sceneic Area
当前城市: 庆阳, 下一城市: 绥化, 高铁费用: 1208.92, 门票费: 28.00, 累计费用: 1236.92, 累计时间: 9.22, 景点: 尧山Yao Mountain
当前城市: 绥化, 下一城市: 湘潭, 高铁费用: 1455.12, 门票费: 120.00, 累计费用: 2812.04, 累计时间: 19.80, 景点: 山海关王家大院Wang Courtyard
当前城市: 湘潭, 下一城市: 娄底, 高铁费用: 56.72, 门票费: 188.00, 累计费用: 3056.76, 累计时间: 22.62, 景点: 凤山万寿谷
当前城市: 娄底, 下一城市: 南充, 高铁费用: 401.25, 门票费: 50.00, 累计费用: 3508.01, 累计时间: 27.34, 景点: 东崖绝壁Dongya Cliff
当前城市: 南充, 下一城市: 马鞍山, 高铁费用: 707.16, 门票费: 40.00, 累计费用: 4255.17, 累计时间: 33.77, 景点: 云龙山Yunlong Mountain
当前城市: 马鞍山, 下一城市: 十堰, 高铁费用: 439.90, 门票费: 40.00, 累计费用: 4735.06, 累计时间: 108.22, 景点: 帽儿山Maoer Mountain
当前城市: 十堰, 下一城市: 乐山, 高铁费用: 451.05, 门票费: 0.00, 累计费用: 5186.12, 累计时间: 111.72, 景点: 凤凰山革命旧址The Fenghuangshan Revolution Site
当前城市: 舟山, 下一城市: 玉林, 高铁费用: 865.06, 门票费: 55.00, 累计费用: 920.06, 累计时间: 8.31, 景点: 广西龙虎山风景区Longhushan Nature Reserve
当前城市: 玉林, 下一城市: 肇庆, 高铁费用: 143.42, 门票费: 40.00, 累计费用: 1103.48, 累计时间: 12.10, 景点: 仙台山Xiantai Mountain
当前城市: 肇庆, 下一城市: 曲靖, 高铁费用: 552.66, 门票费: 50.00, 累计费用: 1706.14, 累计时间: 16.67, 景点: 寺山国家森林公园Sishan National Forest Park
当前城市: 曲靖, 下一城市: 中卫, 高铁费用: 803.91, 门票费: 9.00, 累计费用: 2519.05, 累计时间: 57.14, 景点: 曾家山景区Zengjia Mountain Scenic Area
当前城市: 中卫, 下一城市: 渭南, 高铁费用: 306.95, 门票费: 38.00, 累计费用: 2864.01, 累计时间: 70.84, 景点: 明月山花海原居樱花山谷Mingyue Mountain Flower Sea Original Residence Sakura Valley
当前城市: 渭南, 下一城市: 黄石, 高铁费用: 423.06, 门票费: 18.90, 累计费用: 3305.97, 累计时间: 74.94, 景点: 冠岩Crown Rock
当前城市: 黄石, 下一城市: 北海, 高铁费用: 681.14, 门票费: 20.00, 累计费用: 4007.12, 累计时间: 82.23, 景点: 保驾山景区Baojia Mountain
当前城市: 北海, 下一城市: 黔南, 高铁费用: 333.44, 门票费: 25.00, 累计费用: 4365.56, 累计时间: 88.08, 景点: 宝锭山风景区Ingot Mountain Scenic Area
当前城市: 黔南, 下一城市: 焦作, 高铁费用: 681.51, 门票费: 60.00, 累计费用: 5107.06, 累计时间: 94.37, 景点: 好运谷Haoyungu
当前城市: 焦作, 下一城市: 廊坊, 高铁费用: 341.16, 门票费: 84.00, 累计费用: 5532.23, 累计时间: 99.26, 景点: 地下大峡谷Underground Great Canyon
当前城市: 廊坊, 下一城市: 怀化, 高铁费用: 885.46, 门票费: 30.00, 累计费用: 6447.68, 累计时间: 106.68, 景点: 云山渔谷
当前城市: 怀化, 下一城市: 通辽, 高铁费用: 1264.24, 门票费: 26.00, 累计费用: 7737.92, 累计时间: 116.21, 景点: 日照文山茶博园
当前城市: 通辽, 下一城市: 吕梁, 高铁费用: 694.49, 门票费: 24.60, 累计费用: 8457.01, 累计时间: 132.06, 景点: 多河文化谷旅游区Duohe Culture Valley Tourist Area
当前城市: 吕梁, 下一城市: 伊春, 高铁费用: 1099.41, 门票费: 0.00, 累计费用: 9556.42, 累计时间: 140.67, 景点: 大黑山国家森林公园Daheishan Forest Park
当前城市: 济源, 下一城市: 邢台, 高铁费用: 167.64, 门票费: 44.40, 累计费用: 212.04, 累计时间: 3.43, 景点: 亚龙湾国际玫瑰谷Yalong Bay Rose Valley
当前城市: 邢台, 下一城市: 石河子, 高铁费用: 1508.59, 门票费: 100.00, 累计费用: 1820.63, 累计时间: 83.81, 景点: 少室山景区The Shaoshi Mountain Scenic Area
当前城市: 石河子, 下一城市: 安顺, 高铁费用: 1611.72, 门票费: 128.00, 累计费用: 3560.35, 累计时间: 96.27, 景点: 张家界大峡谷Zhangjiajie Grand Canyon
当前城市: 安顺, 下一城市: 乐东, 高铁费用: 539.71, 门票费: 9.00, 累计费用: 4109.06, 累计时间: 111.26, 景点: 云蒙山皇家森林公园Yunmengshan Royal Forest Park
当前城市: 乐东, 下一城市: 临高, 高铁费用: 85.33, 门票费: 40.00, 累计费用: 4234.39, 累计时间: 115.74, 景点: 东山岭文化旅游区Dongshan Ridge Cultural Tourism Area
当前城市: 张家口, 下一城市: 忻州, 高铁费用: 194.30, 门票费: 10.00, 累计费用: 204.30, 累计时间: 6.08, 景点: 中雁荡山Mid Yandang Mountain
当前城市: 忻州, 下一城市: 衡阳, 高铁费用: 763.26, 门票费: 40.00, 累计费用: 1007.56, 累计时间: 15.32, 景点: 云台山Yuntai Mountain
当前城市: 衡阳, 下一城市: 雄安新区, 高铁费用: 825.90, 门票费: 2.00, 累计费用: 1835.47, 累计时间: 20.91, 景点: 中山码头Zhongshan Ferry Terminal
当前城市: 雄安新区, 下一城市: 安阳, 高铁费用: 209.72, 门票费: 65.00, 累计费用: 2110.18, 累计时间: 34.07, 景点: 天河山Tianhe Mountain
当前城市: 安阳, 下一城市: 庆阳, 高铁费用: 365.56, 门票费: 64.50, 累计费用: 2540.24, 累计时间: 38.60, 景点: 十里蓝山Ten Miles Blue Mountain
当前城市: 庆阳, 下一城市: 辽源, 高铁费用: 1020.23, 门票费: 66.00, 累计费用: 3626.48, 累计时间: 56.27, 景点: 巨石山Jushi Mountain
当前城市: 辽源, 下一城市: 达州, 高铁费用: 1218.01, 门票费: 72.00, 累计费用: 4916.49, 累计时间: 65.04, 景点: 徐凫岩步云谷旅游度假区Xufuyan
当前城市: 达州, 下一城市: 可克达拉, 高铁费用: 1624.27, 门票费: 40.00, 累计费用: 6580.76, 累计时间: 146.06, 景点: 上甘岭溪水国家森林公园Xishui National Forest Park
当前城市: 阜阳, 下一城市: 山南, 高铁费用: 1393.01, 门票费: 7.00, 累计费用: 1400.01, 累计时间: 9.74, 景点: 小孤山Mount Xiaogu
当前城市: 山南, 下一城市: 自贡, 高铁费用: 756.79, 门票费: 59.00, 累计费用: 2215.79, 累计时间: 16.44, 景点: 南华山神凤文化景区Nanhuashanshenfengwenhua Sceneic Area
当前城市: 自贡, 下一城市: 合肥, 高铁费用: 733.48, 门票费: 44.00, 累计费用: 2993.28, 累计时间: 23.02, 景点: 慕士塔格峰-喀拉库勒湖景区Karakul Lake
当前城市: 合肥, 下一城市: 六安, 高铁费用: 40.39, 门票费: 9.00, 累计费用: 3042.67, 累计时间: 95.24, 景点: 南岭国家森林公园Nanling National Forest Park
当前城市: 六安, 下一城市: 中山, 高铁费用: 642.24, 门票费: 50.00, 累计费用: 3734.91, 累计时间: 100.81, 景点: 中山詹园Zhongshan Mansion Garden
当前城市: 中山, 下一城市: 德阳, 高铁费用: 785.47, 门票费: 278.00, 累计费用: 4798.38, 累计时间: 105.67, 景点: 天门山索道Tianmen Mountain Cableway
当前城市: 琼海, 下一城市: 郑州, 高铁费用: 1049.98, 门票费: 14.00, 累计费用: 1063.98, 累计时间: 8.33, 景点: 南京中山植物园Nanjing Zhongshan Botanical Garden
当前城市: 郑州, 下一城市: 乐东, 高铁费用: 1100.69, 门票费: 9.00, 累计费用: 2173.67, 累计时间: 26.45, 景点: 云蒙山皇家森林公园Yunmengshan Royal Forest Park
当前城市: 乐东, 下一城市: 阿克苏, 高铁费用: 2224.01, 门票费: 27.00, 累计费用: 4424.67, 累计时间: 41.30, 景点: 崂山太清宫Laoshan Taiqing Palace
当前城市: 阿克苏, 下一城市: 克孜勒苏柯尔克孜, 高铁费用: 229.44, 门票费: 6.00, 累计费用: 4660.12, 累计时间: 114.58, 景点: 妙道山Miaodao Mountain
当前城市: 大连, 下一城市: 丽水, 高铁费用: 703.21, 门票费: 55.00, 累计费用: 758.21, 累计时间: 6.41, 景点: 文公山Wengong Mountain
当前城市: 丽水, 下一城市: 铜仁, 高铁费用: 633.37, 门票费: 27.00, 累计费用: 1418.58, 累计时间: 11.43, 景点: 南山一棵树观景台Nanshan Tree Viewing Platform
当前城市: 铜仁, 下一城市: 唐山, 高铁费用: 936.55, 门票费: 45.00, 累计费用: 2400.14, 累计时间: 20.13, 景点: 乌岩岭Wuyanling Nature Reserve
当前城市: 唐山, 下一城市: 抚顺, 高铁费用: 328.73, 门票费: 14.00, 累计费用: 2742.87, 累计时间: 24.45, 景点: 余荫山房Yuyin Hill House
当前城市: 抚顺, 下一城市: 白沙, 高铁费用: 1720.61, 门票费: 9.00, 累计费用: 4472.48, 累计时间: 38.01, 景点: 南阳五朵山Nanyang Wuduo (Five) Mountain Scenic Area
当前城市: 白沙, 下一城市: 安康, 高铁费用: 898.02, 门票费: 58.00, 累计费用: 5428.50, 累计时间: 46.50, 景点: 保亭常青茶溪谷Baoting Evergreen Tea Valley
当前城市: 安康, 下一城市: 江门, 高铁费用: 715.22, 门票费: 60.00, 累计费用: 6203.72, 累计时间: 52.48, 景点: 摩天岭Motianling
当前城市: 江门, 下一城市: 达州, 高铁费用: 665.40, 门票费: 72.00, 累计费用: 6941.12, 累计时间: 58.17, 景点: 徐凫岩步云谷旅游度假区Xufuyan
当前城市: 达州, 下一城市: 宣城, 高铁费用: 645.15, 门票费: 49.00, 累计费用: 7635.27, 累计时间: 65.26, 景点: 大鸿寨风景区Dahong Village Scenic Resort
当前城市: 宣城, 下一城市: 雄安新区, 高铁费用: 560.79, 门票费: 2.00, 累计费用: 8198.07, 累计时间: 69.37, 景点: 中山码头Zhongshan Ferry Terminal
当前城市: 雄安新区, 下一城市: 郴州, 高铁费用: 897.17, 门票费: 6.00, 累计费用: 9101.24, 累计时间: 75.36, 景点: 偏岩古镇Pianyan Ancient Town
当前城市: 郴州, 下一城市: 双鸭山, 高铁费用: 1691.41, 门票费: 49.50, 累计费用: 10842.15, 累计时间: 88.25, 景点: 千佛崖Qianfo (Thousand Buddha) Cliff
当前城市: 双鸭山, 下一城市: 常德, 高铁费用: 1550.87, 门票费: 70.00, 累计费用: 12463.01, 累计时间: 100.87, 景点: 七星岩景区
当前城市: 常德, 下一城市: 天津, 高铁费用: 733.94, 门票费: 188.00, 累计费用: 13384.95, 累计时间: 116.95, 景点: 帽峰山景区Maofeng Mountain
当前城市: 天津, 下一城市: 石嘴山, 高铁费用: 556.38, 门票费: 0.00, 累计费用: 13941.33, 累计时间: 122.54, 景点: 五指山Wuzhishan
当前城市: 兰州, 下一城市: 怒江, 高铁费用: 740.09, 门票费: 25.00, 累计费用: 765.09, 累计时间: 10.11, 景点: 北京凤凰岭景区Fenghuangling Natural Scenic Area
当前城市: 怒江, 下一城市: 中山, 高铁费用: 911.20, 门票费: 50.00, 累计费用: 1726.29, 累计时间: 17.17, 景点: 中山詹园Zhongshan Mansion Garden
当前城市: 中山, 下一城市: 阿坝, 高铁费用: 910.42, 门票费: 130.00, 累计费用: 2766.70, 累计时间: 130.23, 景点: 天柱山Tianzhu Mountain
当前城市: 阿坝, 下一城市: 乌鲁木齐, 高铁费用: 1103.56, 门票费: 50.00, 累计费用: 3920.26, 累计时间: 138.86, 景点: 平顶山山顶公园Pingdingshan Peak Park
当前城市: 菏泽, 下一城市: 常德, 高铁费用: 464.58, 门票费: 70.00, 累计费用: 534.58, 累计时间: 6.58, 景点: 七星岩景区
当前城市: 常德, 下一城市: 莱芜, 高铁费用: 584.92, 门票费: 38.80, 累计费用: 1158.31, 累计时间: 13.33, 景点: 巍宝山Weibao Mountain
当前城市: 莱芜, 下一城市: 达州, 高铁费用: 657.11, 门票费: 72.00, 累计费用: 1887.42, 累计时间: 18.98, 景点: 徐凫岩步云谷旅游度假区Xufuyan
当前城市: 达州, 下一城市: 许昌, 高铁费用: 405.18, 门票费: 6.00, 累计费用: 2298.59, 累计时间: 23.73, 景点: 山陕会馆Sheqi Shanxi and Shaanxi Hall
当前城市: 许昌, 下一城市: 临沂, 高铁费用: 257.47, 门票费: 24.50, 累计费用: 2580.57, 累计时间: 26.66, 景点: 文峰塔Wenfeng Tower
当前城市: 临沂, 下一城市: 伊犁, 高铁费用: 1976.33, 门票费: 50.00, 累计费用: 4606.89, 累计时间: 41.14, 景点: 仙人山景区Xianren Mountain Sceneic Area
当前城市: 伊犁, 下一城市: 汕尾, 高铁费用: 2337.20, 门票费: 35.00, 累计费用: 6979.10, 累计时间: 126.13, 景点: 七仙岭温泉国家森林公园Qixianling (Seven Fairies Ridge) Hot Spring National Forest Park
当前城市: 汕尾, 下一城市: 德阳, 高铁费用: 857.84, 门票费: 278.00, 累计费用: 8114.93, 累计时间: 131.39, 景点: 天门山索道Tianmen Mountain Cableway
当前城市: 德阳, 下一城市: 无锡, 高铁费用: 907.59, 门票费: 19.40, 累计费用: 9041.92, 累计时间: 139.93, 景点: 山水园Shanshui Gardens
当前城市: 乐山, 下一城市: 塔城, 高铁费用: 1573.05, 门票费: 16.00, 累计费用: 1589.05, 累计时间: 10.24, 景点: 千层峰Qiancengfeng National Geology Park
当前城市: 塔城, 下一城市: 丽水, 高铁费用: 2271.29, 门票费: 55.00, 累计费用: 3915.34, 累计时间: 25.36, 景点: 文公山Wengong Mountain
当前城市: 丽水, 下一城市: 来宾, 高铁费用: 713.75, 门票费: 38.00, 累计费用: 4667.09, 累计时间: 32.32, 景点: 圣经山风景区Shengjingshan Sceneic Area
当前城市: 来宾, 下一城市: 伊春, 高铁费用: 1908.26, 门票费: 0.00, 累计费用: 6575.35, 累计时间: 45.42, 景点: 大黑山国家森林公园Daheishan Forest Park
当前城市: 伊春, 下一城市: 朝阳, 高铁费用: 571.31, 门票费: 0.50, 累计费用: 7147.17, 累计时间: 51.10, 景点: 双塔山Dual Pagoda Mountain
当前城市: 朝阳, 下一城市: 南充, 高铁费用: 1050.41, 门票费: 50.00, 累计费用: 8247.58, 累计时间: 59.43, 景点: 东崖绝壁Dongya Cliff
当前城市: 南充, 下一城市: 绥化, 高铁费用: 1504.77, 门票费: 28.00, 累计费用: 9780.35, 累计时间: 70.29, 景点: 尧山Yao Mountain
当前城市: 绥化, 下一城市: 咸宁, 高铁费用: 1299.04, 门票费: 60.00, 累计费用: 11139.38, 累计时间: 80.51, 景点: 中山影视城Zhongshan TV and Film City
当前城市: 咸宁, 下一城市: 定西, 高铁费用: 664.97, 门票费: 65.00, 累计费用: 11869.35, 累计时间: 85.70, 景点: 万峰湖Wanfeng Lake
当前城市: 定西, 下一城市: 佛山, 高铁费用: 971.82, 门票费: 20.00, 累计费用: 12861.18, 累计时间: 93.10, 景点: 天际岭国家森林公园
当前城市: 佛山, 下一城市: 石嘴山, 高铁费用: 1133.58, 门票费: 0.00, 累计费用: 13994.76, 累计时间: 101.90, 景点: 五指山Wuzhishan
当前城市: 石嘴山, 下一城市: 鞍山, 高铁费用: 858.64, 门票费: 9.00, 累计费用: 14862.40, 累计时间: 109.17, 景点: 卦山Hexagrams Mountain
当前城市: 鞍山, 下一城市: 潮州, 高铁费用: 1217.46, 门票费: 50.00, 累计费用: 16129.86, 累计时间: 118.44, 景点: 九真山风景区Jiuzhen Mountain Scenic Area
当前城市: 潮州, 下一城市: 山南, 高铁费用: 1527.46, 门票费: 7.00, 累计费用: 17664.32, 累计时间: 128.92, 景点: 小孤山Mount Xiaogu
当前城市: 山南, 下一城市: 拉萨, 高铁费用: 46.16, 门票费: 20.00, 累计费用: 17730.47, 累计时间: 131.68, 景点: 位山黄河公园
当前城市: 拉萨, 下一城市: 亳州, 高铁费用: 1422.53, 门票费: 22.00, 累计费用: 19175.01, 累计时间: 141.08, 景点: 月亮山Moon Hill
当前城市: 绵阳, 下一城市: 宜昌, 高铁费用: 380.56, 门票费: 2.00, 累计费用: 382.56, 累计时间: 4.61, 景点: 仙山湖风景区Xianshan Lake Scenic Area
当前城市: 宜昌, 下一城市: 白沙, 高铁费用: 773.44, 门票费: 9.00, 累计费用: 1165.00, 累计时间: 12.91, 景点: 南阳五朵山Nanyang Wuduo (Five) Mountain Scenic Area
当前城市: 白沙, 下一城市: 广州, 高铁费用: 352.18, 门票费: 30.00, 累计费用: 1547.18, 累计时间: 17.87, 景点: 二酉山Eryoushan
当前城市: 广州, 下一城市: 荆州, 高铁费用: 484.59, 门票费: 1.00, 累计费用: 2032.77, 累计时间: 24.06, 景点: 南山湖风景名胜区Nanshanhu Places of Interest
当前城市: 荆州, 下一城市: 丽水, 高铁费用: 463.45, 门票费: 55.00, 累计费用: 2551.22, 累计时间: 29.13, 景点: 文公山Wengong Mountain
当前城市: 丽水, 下一城市: 遂宁, 高铁费用: 843.47, 门票费: 33.00, 累计费用: 3427.69, 累计时间: 36.32, 景点: 五指山热带雨林风景区Wuzhishan Tropical Rainforest
当前城市: 遂宁, 下一城市: 内江, 高铁费用: 68.95, 门票费: 90.00, 累计费用: 3586.65, 累计时间: 144.70, 景点: 安福武功山Anfu Wugong Mountain
