来源城市	AQI	绿化覆盖率 (%)	废水处理率 (%)	废气处理率 (%)	垃圾分类处理率 (%)	历史遗迹数量	博物馆数量
张掖	46	35	87	84	72	13	5
漳州	62	35	86	84	70	12	4
长白山	50	36	88	85	73	14	5
长沙	45	34	86	83	70	12	4
长治	49	33	87	84	72	13	5
昭通	50	36	88	85	73	14	5
肇庆	48	37	89	86	74	12	5
郑州	46	35	87	84	72	13	5
中山	42	38	90	88	78	25	10
中卫	45	34	86	82	70	12	4
重庆	49	33	87	84	72	13	5
舟山	50	36	88	85	73	14	5
周口	48	37	89	86	74	12	5
珠海	66	38	87	84	73	15	6
株洲	45	34	86	83	70	12	4
驻马店	49	33	87	84	72	13	5
资阳	50	36	88	85	73	14	5
淄博	48	37	89	86	74	12	5
自贡	46	35	87	84	72	13	5
遵义	50	36	88	85	73	14	5
